"AvgUsg_mhz","AvgUsg_pct","MaxUsg_mhz","MaxUsg_pct","MinUsg_mhz","MinUsg_pct","SumRdy_ms","SumSwpWait_ms","AvgDemand_MHz","AvgLat_pct","Entitle_MHz","SumCostop_ms","SumIdle_ms","SumMaxLtd_ms","SumOverlap_ms","SumRun_ms","SumSys_ms","SumUsd_ms","SumWait_ms","AvgRd_KBps","AvgUsg_KBps","AvgWr_KBps","MaxTotLat_ms","MaxUsg_KBps","MinUsg_KBps",AvgCmds,AvgRd,"AvgTotRdLat_ms","AvgTotWrLat_ms",AvgWr,SumBusResets,SumCmds,SumCmdsAbort,SumRd,SumWr,"AvgActWr_KB","AvgAct_KB","AvgCmpd_KB","AvgCmpnRate_KBps","AvgConsum_KB","AvgDecmpnRate_KBps","AvgGrtd_KB","AvgOvrhdMax_KB","AvgOvrhd_KB","AvgShrd_KB","AvgSwpIRate_KBps","AvgSwpIn_KB","AvgSwpORate_KBps","AvgSwpOut_KB","AvgSwpTarg_KB","AvgSwpd_KB","AvgVmctlTarg_KB","AvgVmctl_KB","AvgZero_KB","MaxAct_KB","MaxConsum_KB","MaxGrtd_KB","MaxOvrhd_KB","MaxShrd_KB","MaxSwpIn_KB","MaxSwpOut_KB","MaxSwpTarg_KB","MaxSwpd_KB","MaxVmctlTarg_KB","MaxVmctl_KB","MaxZero_KB","MinAct_KB","MinConsum_KB","MinGrtd_KB","MinOvrhd_KB","MinShrd_KB","MinSwpIn_KB","MinSwpOut_KB","MinSwpTarg_KB","MinSwpd_KB","MinVmctlTarg_KB","MinVmctl_KB","MinZero_KB","ZipSaved_KB","Zipped_KB","AvgEntitle_KB","AvgLlSwapUsd_KB","AvgLlSwpIRate_KBps","AvgLlSwpORate_KBps","AvgOvrhdTouch_KB","AvgRvcd_KBps","AvgXmit_KBps","AvgBRx_KBps","AvgBTx_KBps",SumBroadcastRx,SumBroadcastTx,SumDropRx,SumDropTx,SumMulticastRx,SumMulticastTx,SumPktsRx,SumPktsTx,"SumEnergy_j","ActAvg15m_pct","ActAvg1m_pct","ActAvg5m_pct","ActPk15m_pct","ActPk1m_pct","ActPk5m_pct","MaxLtd15_pct","MaxLtd1_pct","MaxLtd5_pct","RunAvg15m_pct","RunAvg1m_pct","RunAvg5m_pct","RunPk15m_pct","RunPk1m_pct","RunPk5m_pct",SmplCnt,"SmplPrd_ms",SumHeartbeat,"Uptime_sec","OsUptime_sec",RdLoadMetric,RdOIO,WrLoadMetric,WrOIO
"621.250000",,"621.250000",,"621.250000",,"213.000000","0.000000",,,,,,,,,"4.250000","4675.000000","14395.250000","0.000000",,"250.875000",,,,"1.600000","0.000000","2.333333","10.333333","3.000000","0.000000","33.800000","0.000000","0.400000","33.400000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","0.000000",,,,,,,,,"40.000000","35.000000",,,,,,,,,,,,,,,,,,,,,,,,,
"658.500000",,"658.500000",,"658.500000",,"275.250000","0.000000",,,,,,,,,"7.500000","4953.250000","14349.750000","2.625000",,"356.875000",,,,"4.800000","0.000000","0.333333","5.000000","8.500000","0.000000","96.600000","0.000000","1.600000","95.000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","1.000000",,,,,,,,,"40.000000","41.000000",,,,,,,,,,,,,,,,,,,,,,,,,
"576.500000",,"576.500000",,"576.500000",,"191.250000","0.000000",,,,,,,,,"6.250000","4338.750000","14378.250000","0.000000",,"356.125000",,,,"3.000000","0.000000","6.333333","7.000000","5.500000","0.000000","62.600000","0.000000","0.800000","61.800000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","1.000000",,,,,,,,,"40.000000","48.000000",,,,,,,,,,,,,,,,,,,,,,,,,
"243.000000",,"243.000000",,"243.000000",,"118.250000","0.000000",,,,,,,,,"4.750000","1830.000000","17188.750000","0.000000",,"192.750000",,,,"1.600000","0.000000","4.666667","3078.000000","2.875000","0.000000","34.400000","0.000000","0.200000","34.200000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","0.000000",,,,,,,,,"25.000000","29.000000",,,,,,,,,,,,,,,,,,,,,,,,,
"348.750000",,"348.750000",,"348.750000",,"153.000000","0.000000",,,,,,,,,"5.750000","2627.000000","16510.250000","10.125000",,"238.375000",,,,"1.600000","0.375000","852.333333","1623.000000","2.125000","0.000000","33.200000","0.000000","7.800000","25.400000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","0.000000",,,,,,,,,"79.000000","32.000000",,,,,,,,,,,,,,,,,,,,,,,,,
"631.000000",,"631.000000",,"631.000000",,"150.250000","0.000000",,,,,,,,,"4.750000","4749.250000","14454.500000","0.000000",,"342.375000",,,,"1.800000","0.000000","3.333333","304.000000","3.375000","0.000000","38.600000","0.000000","0.600000","38.000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.000000","0.000000",,,,,,,,,"317.000000","49.000000",,,,,,,,,,,,,,,,,,,,,,,,,
"439.750000",,"439.750000",,"439.750000",,"165.750000","0.000000",,,,,,,,,"112.250000","3312.250000","15687.500000","19.875000",,"8504.625000",,,,"30.000000","0.750000","61.666667","94.000000","55.125000","0.000000","601.400000","0.000000","10.000000","591.400000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","1.000000",,,,,,,,,"37.000000","44.000000",,,,,,,,,,,,,,,,,,,,,,,,,
"638.000000",,"638.000000",,"638.000000",,"131.500000","0.000000",,,,,,,,,"25.250000","4801.750000","14476.500000","3.375000",,"1435.375000",,,,"13.400000","0.000000","3.666667","9.666667","24.750000","0.000000","268.400000","0.000000","3.800000","264.600000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","8.000000",,,,,,,,,"73.000000","81.000000",,,,,,,,,,,,,,,,,,,,,,,,,
"434.500000",,"434.500000",,"434.500000",,"145.000000","0.000000",,,,,,,,,"103.000000","3271.500000","16027.500000","310.500000",,"3663.000000",,,,"56.600000","13.500000","4.333333","14.333333","92.250000","0.000000","1134.200000","0.000000","147.600000","986.600000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","12.000000",,,,,,,,,"92.000000","99.000000",,,,,,,,,,,,,,,,,,,,,,,,,
"689.000000",,"689.000000",,"689.000000",,"176.000000","0.000000",,,,,,,,,"8.750000","5185.750000","14445.000000","0.000000",,"465.375000",,,,"7.600000","0.000000","0.000000","3.000000","14.125000","0.000000","152.600000","0.000000","0.000000","152.600000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","0.000000",,,,,,,,,"36.000000","24.000000",,,,,,,,,,,,,,,,,,,,,,,,,
