_raw,index,host,source,sourcetype
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",apiType=HostAgent, apiVersion=4.1, build=348481, fullName=VMware ESXi 4.1.0 build-348481, licenseProductName=VMware ESX Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware ESXi, osType=vmnix-x86, productLineId=embeddedEsx, vendor=""VMware, Inc."", version=4.1.0,subpath=config/product",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-2179,moname=""ross-datagen0044"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=group-d1,moname=""Datacenters"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:group-d1"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-744,moname=""io-qa-splunk"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-16,moname=""vCenter41"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-16"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-19,moname=""esxi4103.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-19"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-19,moname=""esxi4103.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-19"",apiType=HostAgent, apiVersion=4.1, build=348481, fullName=VMware ESXi 4.1.0 build-348481, licenseProductName=VMware ESX Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware ESXi, osType=vmnix-x86, productLineId=embeddedEsx, vendor=""VMware, Inc."", version=4.1.0,subpath=summary/config/product",vmware,VCENTER41,AboutInfo,vmware:inv
