"_raw",index,host,source,sourcetype,"_time"
"2012-05-31 16:37:00 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=host-19,hmoid=ha-host,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-19"", moname=ESXi4103.SV.SPLUNK.COM, ActAvg15m_pct=840.00, ActAvg1m_pct=777.00, ActAvg5m_pct=782.00, ActPk15m_pct=1309.00, ActPk1m_pct=1093.00, ActPk5m_pct=1093.00, MaxLtd15_pct=0.00, MaxLtd1_pct=0.00, MaxLtd5_pct=0.00, RunAvg15m_pct=571.00, RunAvg1m_pct=479.00, RunAvg5m_pct=550.00, RunPk15m_pct=690.00, RunPk1m_pct=580.00, RunPk5m_pct=679.00, SmplCnt=160.00, SmplPrd_ms=6000.00, perftype=resCpu",vmware,"esxi4103.splunk.com",HostSystemPerf,"vmware:perf",1338482220
"2012-05-31 16:37:00 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=host-19,hmoid=ha-host,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-19"", moname=ESXi4103.SV.SPLUNK.COM, AvgRd_KBps=433.00, AvgUsg_KBps=4301.00, AvgWr_KBps=3868.00, MaxTotLat_ms=25.00, MaxUsg_KBps=4301.00, MinUsg_KBps=4301.00, perfsubtype=disk, perftype=disk",vmware,"esxi4103.splunk.com",HostSystemPerf,"vmware:perf",1338482220
"2012-05-31 16:37:00 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=host-19,hmoid=ha-host,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-19"", moname=ESXi4103.SV.SPLUNK.COM, AvgActWr_KB=6367252.00, AvgAct_KB=8519252.00, AvgCmpd_KB=90613428.00, AvgCmpnRate_KBps=757.00, AvgConsum_KB=47683176.00, AvgDecmpnRate_KBps=683.00, AvgGrtd_KB=64245572.00, AvgHeap_KB=51200.00, AvgHeapfree_KB=27028.00, AvgOvrhd_KB=3370332.00, AvgRsvdCap_MB=6188.00, AvgShrd_KB=22470156.00, AvgShrdcmn_KB=4571436.00, AvgSwpIRate_KBps=261.00, AvgSwpIn_KB=250929524.00, AvgSwpORate_KBps=106.00, AvgSwpOut_KB=251127524.00, AvgSwpUsd_KB=3055164.00, AvgSysUsg_KB=1754752.00, AvgTotCap_MB=88582.00, AvgUnrsvd_KB=84371496.00, AvgUsg_pct=47.37, AvgVmctl_KB=25229452.00, AvgZero_KB=18278548.00, MaxAct_KB=8519252.00, MaxConsum_KB=47683176.00, MaxGrtd_KB=64245572.00, MaxHeap_KB=51200.00, MaxHeapfree_KB=27028.00, MaxOvrhd_KB=3370332.00, MaxShrd_KB=22470156.00, MaxShrdcmn_KB=4571436.00, MaxSwpIn_KB=250929524.00, MaxSwpOut_KB=251127524.00, MaxSwpUsd_KB=3055164.00, MaxSysUsg_KB=1754752.00, MaxUnrsvd_KB=84371496.00, MaxUsg_pct=47.37, MaxVmctl_KB=25229452.00, MaxZero_KB=18278548.00, MinAct_KB=8519252.00, MinConsum_KB=47683176.00, MinGrtd_KB=64245572.00, MinHeap_KB=51200.00, MinHeapfree_KB=27028.00, MinOvrhd_KB=3370332.00, MinShrd_KB=22470156.00, MinShrdcmn_KB=4571436.00, MinSwpIn_KB=250929524.00, MinSwpOut_KB=251127524.00, MinSwpUsd_KB=3055164.00, MinSysUsg_KB=1754752.00, MinUnrsvd_KB=84371496.00, MinUsg_pct=47.37, MinVmctl_KB=25229452.00, MinZero_KB=18278548.00, State=0.00, perftype=mem",vmware,"esxi4103.splunk.com",HostSystemPerf,"vmware:perf",1338482220
"2012-05-31 16:37:00 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=host-19,hmoid=ha-host,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-19"", moname=ESXi4103.SV.SPLUNK.COM, Uptime_sec=8957269.00, perftype=sys",vmware,"esxi4103.splunk.com",HostSystemPerf,"vmware:perf",1338482220
"2012-05-31 16:37:00 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=host-19,hmoid=ha-host,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-19"", moname=ESXi4103.SV.SPLUNK.COM, AvgCoreUtil_pct=100.00, AvgRsvdCap_MHz=7944.00, AvgTotCap_MHz=28318.00, AvgUsg_mhz=15361.00, AvgUsg_pct=48.12, AvgUtil_pct=47.74, MaxCoreUtil_pct=100.00, MaxUsg_mhz=15361.00, MaxUsg_pct=48.12, MaxUtil_pct=47.74, MinCoreUtil_pct=100.00, MinUsg_mhz=15361.00, MinUsg_pct=48.12, MinUtil_pct=47.74, perftype=cpu",vmware,"esxi4103.splunk.com",HostSystemPerf,"vmware:perf",1338482220
"2012-05-31 16:37:00 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=host-19,hmoid=ha-host,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-19"", moname=ESXi4103.SV.SPLUNK.COM, AvgRvcd_KBps=1399.00, AvgUsg_KBps=6736.00, AvgXmit_KBps=5337.00, MaxUsg_KBps=6736.00, MinUsg_KBps=6736.00, perftype=net",vmware,"esxi4103.splunk.com",HostSystemPerf,"vmware:perf",1338482220
"2012-05-31 16:37:00 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=host-19,hmoid=ha-host,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-19"", moname=ESXi4103.SV.SPLUNK.COM, AvgPowerCap_w=0.00, SumEnergy_j=3620.00, perftype=power",vmware,"esxi4103.splunk.com",HostSystemPerf,"vmware:perf",1338482220
"2012-05-31 16:36:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=host-20,hmoid=ha-host,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"", moname=ESXi4104.SV.SPLUNK.COM, ActAvg15m_pct=615.00, ActAvg1m_pct=525.00, ActAvg5m_pct=520.00, ActPk15m_pct=806.00, ActPk1m_pct=633.00, ActPk5m_pct=765.00, MaxLtd15_pct=0.00, MaxLtd1_pct=7.00, MaxLtd5_pct=0.00, RunAvg15m_pct=512.00, RunAvg1m_pct=456.00, RunAvg5m_pct=438.00, RunPk15m_pct=656.00, RunPk1m_pct=538.00, RunPk5m_pct=630.00, SmplCnt=160.00, SmplPrd_ms=6000.00, perftype=resCpu",vmware,"esxi4104.splunk.com",HostSystemPerf,"vmware:perf",1338482200
"2012-05-31 16:36:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=host-20,hmoid=ha-host,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"", moname=ESXi4104.SV.SPLUNK.COM, AvgRd_KBps=108.00, AvgUsg_KBps=8138.00, AvgWr_KBps=8030.00, MaxTotLat_ms=15.00, MaxUsg_KBps=8138.00, MinUsg_KBps=8138.00, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",HostSystemPerf,"vmware:perf",1338482200
"2012-05-31 16:36:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=host-20,hmoid=ha-host,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"", moname=ESXi4104.SV.SPLUNK.COM, AvgActWr_KB=6219556.00, AvgAct_KB=7710812.00, AvgCmpd_KB=478888.00, AvgCmpnRate_KBps=0.00, AvgConsum_KB=68395340.00, AvgDecmpnRate_KBps=0.00, AvgGrtd_KB=89436516.00, AvgHeap_KB=51200.00, AvgHeapfree_KB=26985.00, AvgOvrhd_KB=3778240.00, AvgRsvdCap_MB=4483.00, AvgShrd_KB=25050556.00, AvgShrdcmn_KB=5468668.00, AvgSwpIRate_KBps=0.00, AvgSwpIn_KB=1429420.00, AvgSwpORate_KBps=0.00, AvgSwpOut_KB=1630920.00, AvgSwpUsd_KB=1948024.00, AvgSysUsg_KB=1787716.00, AvgTotCap_MB=88569.00, AvgUnrsvd_KB=86104260.00, AvgUsg_pct=67.95, AvgVmctl_KB=10895476.00, AvgZero_KB=19546144.00, MaxAct_KB=7710812.00, MaxConsum_KB=68395340.00, MaxGrtd_KB=89436516.00, MaxHeap_KB=51200.00, MaxHeapfree_KB=26985.00, MaxOvrhd_KB=3778240.00, MaxShrd_KB=25050556.00, MaxShrdcmn_KB=5468668.00, MaxSwpIn_KB=1429420.00, MaxSwpOut_KB=1630920.00, MaxSwpUsd_KB=1948024.00, MaxSysUsg_KB=1787716.00, MaxUnrsvd_KB=86104260.00, MaxUsg_pct=67.95, MaxVmctl_KB=10895476.00, MaxZero_KB=19546144.00, MinAct_KB=7710812.00, MinConsum_KB=68395340.00, MinGrtd_KB=89436516.00, MinHeap_KB=51200.00, MinHeapfree_KB=26985.00, MinOvrhd_KB=3778240.00, MinShrd_KB=25050556.00, MinShrdcmn_KB=5468668.00, MinSwpIn_KB=1429420.00, MinSwpOut_KB=1630920.00, MinSwpUsd_KB=1948024.00, MinSysUsg_KB=1787716.00, MinUnrsvd_KB=86104260.00, MinUsg_pct=67.95, MinVmctl_KB=10895476.00, MinZero_KB=19546144.00, State=0.00, perftype=mem",vmware,"esxi4104.splunk.com",HostSystemPerf,"vmware:perf",1338482200
