"_raw",index,host,source,sourcetype,"_time"
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1447,hmoid=5088,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"", moname=qasvwin7x64-HK1, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6743696e7935, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1447,hmoid=5088,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"", moname=qasvwin7x64-HK1, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=2.00, AvgWr_KBps=23.00, instance=4eb7f2fc-0a4c67a7-0c95-842b2b772db1, perfsubtype=dStore, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1447,hmoid=5088,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"", moname=qasvwin7x64-HK1, AvgUsg_mhz=24.00, MaxUsg_mhz=24.00, MinUsg_mhz=24.00, SumRdy_ms=14.00, SumSwpWait_ms=0.00, SumSys_ms=0.00, SumUsd_ms=183.00, SumWait_ms=19606.00, instance=1, perftype=cpu",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1447,hmoid=5088,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"", moname=qasvwin7x64-HK1, AvgCmds=1.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=1.00, AvgWr_KBps=8.00, SumBusResets=0.00, SumCmds=20.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=20.00, instance=naa.60a9800064724939504a6743696d7739, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1447,hmoid=5088,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"", moname=qasvwin7x64-HK1, AvgCmds=1.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=1.00, AvgWr_KBps=15.00, SumBusResets=0.00, SumCmds=32.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=32.00, instance=naa.60a9800064724939504a6743696f7037, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1447,hmoid=5088,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"", moname=qasvwin7x64-HK1, AvgUsg_mhz=28.00, MaxUsg_mhz=28.00, MinUsg_mhz=28.00, SumRdy_ms=18.00, SumSwpWait_ms=0.00, SumSys_ms=3.00, SumUsd_ms=216.00, SumWait_ms=19555.00, instance=0, perftype=cpu",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1447,hmoid=5088,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"", moname=qasvwin7x64-HK1, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6743696e5369, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1447,hmoid=5088,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"", moname=qasvwin7x64-HK1, AvgRvcd_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=19.00, SumPktsTx=9.00, instance=4000, perftype=net",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1447,hmoid=5088,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"", moname=qasvwin7x64-HK1, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6743696f4b38, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1447,hmoid=5088,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"", moname=qasvwin7x64-HK1, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=2.00, AvgWr_KBps=23.00, instance=scsi0:0, perftype=vDisk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a674369746575, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgRvcd_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=6.00, SumPktsTx=2.00, instance=4000, perftype=net",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=1.00, AvgWr_KBps=9.00, instance=4eb7f266-2a89385a-3643-842b2b772db1, perfsubtype=dStore, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=1.00, AvgWr=1.00, AvgWr_KBps=9.00, instance=scsi0:0, perftype=vDisk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgUsg_mhz=54.00, MaxUsg_mhz=54.00, MinUsg_mhz=54.00, SumRdy_ms=9.00, SumSwpWait_ms=0.00, SumSys_ms=2.00, SumUsd_ms=409.00, SumWait_ms=19463.00, instance=0, perftype=cpu",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a674369716664, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1647,hmoid=4944,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"", moname=ANTIVIR01, AvgCmds=1.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=1.00, AvgWr_KBps=9.00, SumBusResets=0.00, SumCmds=34.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=34.00, instance=naa.60a9800064724939504a674369714449, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2179,hmoid=4912,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"", moname=ross-datagen0044, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a674369746575, perfsubtype=disk, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2179,hmoid=4912,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"", moname=ross-datagen0044, AvgRvcd_KBps=0.00, AvgXmit_KBps=14.00, SumPktsRx=263.00, SumPktsTx=280.00, instance=4000, perftype=net",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
"2012-05-31 16:37:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2179,hmoid=4912,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"", moname=ross-datagen0044, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=1.00, AvgWr_KBps=7.00, instance=4eb7f266-2a89385a-3643-842b2b772db1, perfsubtype=dStore, perftype=disk",vmware,"esxi4104.splunk.com",VirtualMachinePerf,"vmware:perf",1338482240
